ENTREZID	SYMBOL	GOALL	ONTOLOGYALL	GOTERM
10009	ZBTB33	GO:0006139	BP	nucleobase-containing compound metabolic process
10009	ZBTB33	GO:0006351	BP	"transcription, DNA-templated"
10009	ZBTB33	GO:0006355	BP	"regulation of transcription, DNA-templated"
10009	ZBTB33	GO:0006725	BP	cellular aromatic compound metabolic process
10009	ZBTB33	GO:0006807	BP	nitrogen compound metabolic process
10009	ZBTB33	GO:0007154	BP	cell communication
10009	ZBTB33	GO:0007165	BP	signal transduction
10009	ZBTB33	GO:0007166	BP	cell surface receptor signaling pathway
10009	ZBTB33	GO:0007267	BP	cell-cell signaling
10009	ZBTB33	GO:0008150	BP	biological_process
10009	ZBTB33	GO:0008152	BP	metabolic process
10009	ZBTB33	GO:0009058	BP	biosynthetic process
10009	ZBTB33	GO:0009059	BP	macromolecule biosynthetic process
10009	ZBTB33	GO:0009889	BP	regulation of biosynthetic process
10009	ZBTB33	GO:0009890	BP	negative regulation of biosynthetic process
10009	ZBTB33	GO:0009892	BP	negative regulation of metabolic process
10009	ZBTB33	GO:0009987	BP	cellular process
10009	ZBTB33	GO:0010467	BP	gene expression
10009	ZBTB33	GO:0010468	BP	regulation of gene expression
10009	ZBTB33	GO:0010556	BP	regulation of macromolecule biosynthetic process
10009	ZBTB33	GO:0010558	BP	negative regulation of macromolecule biosynthetic process
10009	ZBTB33	GO:0010605	BP	negative regulation of macromolecule metabolic process
10009	ZBTB33	GO:0010629	BP	negative regulation of gene expression
10009	ZBTB33	GO:0016055	BP	Wnt signaling pathway
10009	ZBTB33	GO:0016070	BP	RNA metabolic process
10009	ZBTB33	GO:0018130	BP	heterocycle biosynthetic process
10009	ZBTB33	GO:0019219	BP	regulation of nucleobase-containing compound metabolic process
10009	ZBTB33	GO:0019222	BP	regulation of metabolic process
10009	ZBTB33	GO:0019438	BP	aromatic compound biosynthetic process
10009	ZBTB33	GO:0023052	BP	signaling
10009	ZBTB33	GO:0031323	BP	regulation of cellular metabolic process
10009	ZBTB33	GO:0031324	BP	negative regulation of cellular metabolic process
10009	ZBTB33	GO:0031326	BP	regulation of cellular biosynthetic process
10009	ZBTB33	GO:0031327	BP	negative regulation of cellular biosynthetic process
10009	ZBTB33	GO:0032774	BP	RNA biosynthetic process
10009	ZBTB33	GO:0034641	BP	cellular nitrogen compound metabolic process
10009	ZBTB33	GO:0034645	BP	cellular macromolecule biosynthetic process
10009	ZBTB33	GO:0034654	BP	nucleobase-containing compound biosynthetic process
10009	ZBTB33	GO:0035556	BP	intracellular signal transduction
10009	ZBTB33	GO:0043170	BP	macromolecule metabolic process
10009	ZBTB33	GO:0044237	BP	cellular metabolic process
10009	ZBTB33	GO:0044238	BP	primary metabolic process
10009	ZBTB33	GO:0044249	BP	cellular biosynthetic process
10009	ZBTB33	GO:0044260	BP	cellular macromolecule metabolic process
10009	ZBTB33	GO:0044271	BP	cellular nitrogen compound biosynthetic process
10009	ZBTB33	GO:0044699	BP	single-organism process
10009	ZBTB33	GO:0044700	BP	single organism signaling
10009	ZBTB33	GO:0044763	BP	single-organism cellular process
10009	ZBTB33	GO:0045892	BP	"negative regulation of transcription, DNA-templated"
10009	ZBTB33	GO:0045934	BP	negative regulation of nucleobase-containing compound metabolic process
10009	ZBTB33	GO:0046483	BP	heterocycle metabolic process
10009	ZBTB33	GO:0048519	BP	negative regulation of biological process
10009	ZBTB33	GO:0048523	BP	negative regulation of cellular process
10009	ZBTB33	GO:0050789	BP	regulation of biological process
10009	ZBTB33	GO:0050794	BP	regulation of cellular process
10009	ZBTB33	GO:0050896	BP	response to stimulus
10009	ZBTB33	GO:0051171	BP	regulation of nitrogen compound metabolic process
10009	ZBTB33	GO:0051172	BP	negative regulation of nitrogen compound metabolic process
10009	ZBTB33	GO:0051252	BP	regulation of RNA metabolic process
10009	ZBTB33	GO:0051253	BP	negative regulation of RNA metabolic process
10009	ZBTB33	GO:0051716	BP	cellular response to stimulus
10009	ZBTB33	GO:0060255	BP	regulation of macromolecule metabolic process
10009	ZBTB33	GO:0065007	BP	biological regulation
10009	ZBTB33	GO:0071704	BP	organic substance metabolic process
10009	ZBTB33	GO:0080090	BP	regulation of primary metabolic process
10009	ZBTB33	GO:0090304	BP	nucleic acid metabolic process
10009	ZBTB33	GO:0097659	BP	nucleic acid-templated transcription
10009	ZBTB33	GO:0198738	BP	cell-cell signaling by wnt
10009	ZBTB33	GO:1901360	BP	organic cyclic compound metabolic process
10009	ZBTB33	GO:1901362	BP	organic cyclic compound biosynthetic process
10009	ZBTB33	GO:1901576	BP	organic substance biosynthetic process
10009	ZBTB33	GO:1902679	BP	negative regulation of RNA biosynthetic process
10009	ZBTB33	GO:1903506	BP	regulation of nucleic acid-templated transcription
10009	ZBTB33	GO:1903507	BP	negative regulation of nucleic acid-templated transcription
10009	ZBTB33	GO:1905114	BP	cell surface receptor signaling pathway involved in cell-cell signaling
10009	ZBTB33	GO:2000112	BP	regulation of cellular macromolecule biosynthetic process
10009	ZBTB33	GO:2000113	BP	negative regulation of cellular macromolecule biosynthetic process
10009	ZBTB33	GO:2001141	BP	regulation of RNA biosynthetic process
1051	CEBPB	GO:0000003	BP	reproduction
1051	CEBPB	GO:0001101	BP	response to acid chemical
1051	CEBPB	GO:0001503	BP	ossification
1051	CEBPB	GO:0001541	BP	ovarian follicle development
1051	CEBPB	GO:0001649	BP	osteoblast differentiation
1051	CEBPB	GO:0001701	BP	in utero embryonic development
1051	CEBPB	GO:0001775	BP	cell activation
1051	CEBPB	GO:0001816	BP	cytokine production
1051	CEBPB	GO:0001817	BP	regulation of cytokine production
1051	CEBPB	GO:0001819	BP	positive regulation of cytokine production
1051	CEBPB	GO:0001889	BP	liver development
1051	CEBPB	GO:0001890	BP	placenta development
1051	CEBPB	GO:0001892	BP	embryonic placenta development
1051	CEBPB	GO:0002237	BP	response to molecule of bacterial origin
1051	CEBPB	GO:0002376	BP	immune system process
1051	CEBPB	GO:0002520	BP	immune system development
1051	CEBPB	GO:0002521	BP	leukocyte differentiation
1051	CEBPB	GO:0002526	BP	acute inflammatory response
1051	CEBPB	GO:0002573	BP	myeloid leukocyte differentiation
1051	CEBPB	GO:0002682	BP	regulation of immune system process
1051	CEBPB	GO:0002683	BP	negative regulation of immune system process
1051	CEBPB	GO:0002694	BP	regulation of leukocyte activation
1051	CEBPB	GO:0002695	BP	negative regulation of leukocyte activation
1051	CEBPB	GO:0002761	BP	regulation of myeloid leukocyte differentiation
1051	CEBPB	GO:0003006	BP	developmental process involved in reproduction
1051	CEBPB	GO:0003008	BP	system process
1051	CEBPB	GO:0006139	BP	nucleobase-containing compound metabolic process
